source,target
KSPA1EB-3-SWGN7,WING 2 - TRAIN 2
KSPA1EB-4-SWGN7,WING 2 - TRAIN 2
KSPA1EB-8-SWGE7,WING 2 - CKT 8
KSPA1W2-3A1-2A1-FN4-1A,KSPA1W2-3A1-SUBN4-2
KSPA1W2-3A1-2A1-GN2-1A,KSPA1W2-3A1-2A1-XN4-2A
KSPA1W2-3A1-2A1-LN4-1A,KSPA1W2-3A1-2A1-XN4-1A
KSPA1W2-3A1-2A1-MN4-1A,KSPA1W2-3A1-2A1-FN4-1A
KSPA1W2-3A1-2A1-XN4-1A,KSPA1W2-3A1-2A1-FN4-1A
KSPA1W2-3A1-2A1-XN4-2A,KSPA1W2-3A1-2A1-FN4-1A
KSPA1W2-3A1-2A2-FN4-1A,KSPA1W2-3A1-SUBN4-2
KSPA1W2-3A1-2A2-GN2-1A,KSPA1W2-3A1-2A2-XN4-2A
KSPA1W2-3A1-2A2-LN4-1A,KSPA1W2-3A1-2A2-XN4-1A
KSPA1W2-3A1-2A2-MN4-1A,KSPA1W2-3A1-2A2-FN4-1A
KSPA1W2-3A1-2A2-XN4-1A,KSPA1W2-3A1-2A2-FN4-1A
KSPA1W2-3A1-2A2-XN4-2A,KSPA1W2-3A1-2A2-FN4-1A
KSPA1W2-3A1-SUBN4-1,KSPA1W2-3A1-XN7-1
KSPA1W2-3A1-SUBN4-2,KSPA1W2-3A1-XN7-2
KSPA1W2-3A1-SWGN7-1,KSPA1EB-3-SWGN7
KSPA1W2-3A1-XN7-1,KSPA1W2-3A1-SWGN7-1
KSPA1W2-3A1-XN7-2,KSPA1W2-3A1-SWGN7-1
KSPA1W2-3B1-2A1-FN4-1A,KSPA1W2-3B1-SUBN4-2
KSPA1W2-3B1-2A2-FN4-1A,KSPA1W2-3B1-SUBN4-2
KSPA1W2-3B1-2A3-FN2-1A,KSPA1W2-3B1-2A3-XN4-2A
KSPA1W2-3B1-2A3-FN4-1A,KSPA1W2-3B1-SUBN4-2
KSPA1W2-3B1-2A3-GN2-1A,KSPA1W2-3B1-2A3-FN2-1A
KSPA1W2-3B1-2A3-GN2-2A,KSPA1W2-3B1-2A3-FN2-1A
KSPA1W2-3B1-2A3-LN4-1A,KSPA1W2-3B1-2A3-XN4-1A
KSPA1W2-3B1-2A3-MN4-1A,KSPA1W2-3B1-2A3-FN4-1A
KSPA1W2-3B1-2A3-TN2-1A,KSPA1W2-3B1-2A3-FN2-1A
KSPA1W2-3B1-2A3-TN2-2A,KSPA1W2-3B1-2A3-FN2-1A
KSPA1W2-3B1-2A3-TN2-3A,KSPA1W2-3B1-2A3-FN2-1A
KSPA1W2-3B1-2A3-TN4-1A,KSPA1W2-3B1-2A3-FN4-1A
KSPA1W2-3B1-2A3-TN4-1B,KSPA1W2-3B1-2A3-TN4-1A
KSPA1W2-3B1-2A3-XN4-1A,KSPA1W2-3B1-2A3-FN4-1A
KSPA1W2-3B1-2A3-XN4-2A,KSPA1W2-3B1-2A3-FN4-1A
KSPA1W2-3B1-2B4-FN4-1A,KSPA1W2-3B1-SUBN4-2
KSPA1W2-3B1-SUBN4-1,KSPA1W2-3B1-XN7-1
KSPA1W2-3B1-SUBN4-2,KSPA1W2-3B1-XN7-2
KSPA1W2-3B1-SWGN7-1,KSPA1EB-3-SWGN7
KSPA1W2-3B1-XN7-1,KSPA1W2-3B1-SWGN7-1
KSPA1W2-3B1-XN7-2,KSPA1W2-3B1-SWGN7-1
KSPA1W2-3C1-1B5-FN4-1A,KSPA1W2-3C1-SUBN4-1
KSPA1W2-3C1-1B6-FN4-1A,KSPA1W2-3C1-SUBN4-1
KSPA1W2-3C1-2A1-FN4-1A,KSPA1W2-3C1-SUBN4-2
KSPA1W2-3C1-2A2-FN4-1A,KSPA1W2-3C1-SUBN4-2
KSPA1W2-3C1-2A2-GN2-1A,KSPA1W2-3C1-2A2-XN4-2A
KSPA1W2-3C1-2A2-LN4-1A,KSPA1W2-3C1-2A2-XN4-1A
KSPA1W2-3C1-2A2-MN4-1A,KSPA1W2-3C1-2A2-FN4-1A
KSPA1W2-3C1-2A2-XN4-1A,KSPA1W2-3C1-2A2-FN4-1A
KSPA1W2-3C1-2A2-XN4-2A,KSPA1W2-3C1-2A2-FN4-1A
KSPA1W2-3C1-2A3-FN4-1A,KSPA1W2-3C1-SUBN4-2
KSPA1W2-3C1-2A3-GN2-1A,KSPA1W2-3C1-2A3-XN4-2A
KSPA1W2-3C1-2A3-GN2-2A,KSPA1W2-3C1-2A3-XN4-4A
KSPA1W2-3C1-2A3-GN2-3A,KSPA1W2-3C1-2A3-XN4-5A
KSPA1W2-3C1-2A3-LN4-1A,KSPA1W2-3C1-2A3-XN4-1A
KSPA1W2-3C1-2A3-LN4-2A,KSPA1W2-3C1-2A3-XN4-3A
KSPA1W2-3C1-2A3-LN4-3A,KSPA1W2-3C1-2A3-XN4-6A
KSPA1W2-3C1-2A3-MN4-1A,KSPA1W2-3C1-2A3-FN4-1A
KSPA1W2-3C1-2A3-MN4-2A,KSPA1W2-3C1-2A3-FN4-1A
KSPA1W2-3C1-2A3-MN4-3A,KSPA1W2-3C1-2A3-FN4-1A
KSPA1W2-3C1-2A3-XN4-1A,KSPA1W2-3C1-2A3-MN4-1A
KSPA1W2-3C1-2A3-XN4-2A,KSPA1W2-3C1-2A3-MN4-1A
KSPA1W2-3C1-2A3-XN4-3A,KSPA1W2-3C1-2A3-MN4-2A
KSPA1W2-3C1-2A3-XN4-4A,KSPA1W2-3C1-2A3-MN4-2A
KSPA1W2-3C1-2A3-XN4-5A,KSPA1W2-3C1-2A3-MN4-3A
KSPA1W2-3C1-2A3-XN4-6A,KSPA1W2-3C1-2A3-MN4-3A
KSPA1W2-3C1-2B4-FN4-1A,KSPA1W2-3C1-SUBN4-2
KSPA1W2-3C1-SUBN4-1,KSPA1W2-3C1-XN7-1
KSPA1W2-3C1-SUBN4-2,KSPA1W2-3C1-XN7-2
KSPA1W2-3C1-SWGN7-1,KSPA1EB-3-SWGN7
KSPA1W2-3C1-XN7-1,KSPA1W2-3C1-SWGN7-1
KSPA1W2-3C1-XN7-2,KSPA1W2-3C1-SWGN7-1
KSPA1W2-3D1-2A1-FN4-1A,KSPA1W2-3D1-SUBN4-2
KSPA1W2-3D1-2A1-GN2-1A,KSPA1W2-3D1-2A1-XN4-2A
KSPA1W2-3D1-2A1-LN4-1A,KSPA1W2-3D1-2A1-XN4-1A
KSPA1W2-3D1-2A1-MN4-1A,KSPA1W2-3D1-2A1-FN4-1A
KSPA1W2-3D1-2A1-XN4-1A,KSPA1W2-3D1-2A1-FN4-1A
KSPA1W2-3D1-2A1-XN4-2A,KSPA1W2-3D1-2A1-FN4-1A
KSPA1W2-3D1-2A2-FN4-1A,KSPA1W2-3D1-SUBN4-2
KSPA1W2-3D1-2A3-FN4-1A,KSPA1W2-3D1-SUBN4-2
KSPA1W2-3D1-2A3-GN2-1A,KSPA1W2-3D1-2A3-XN4-2A
KSPA1W2-3D1-2A3-LN4-1A,KSPA1W2-3D1-2A3-XN4-1A
KSPA1W2-3D1-2A3-MN4-1A,KSPA1W2-3D1-2A3-FN4-1A
KSPA1W2-3D1-2A3-MN4-2A,KSPA1W2-3D1-2A3-FN4-1A
KSPA1W2-3D1-2A3-XN4-1A,KSPA1W2-3D1-2A3-FN4-1A
KSPA1W2-3D1-2A3-XN4-2A,KSPA1W2-3D1-2A3-FN4-1A
KSPA1W2-3D1-2B4-FN4-1A,KSPA1W2-3D1-SUBN4-2
KSPA1W2-3D1-2B4-GN2-1A,KSPA1W2-3D1-2B4-XN4-2A
KSPA1W2-3D1-2B4-LN4-1A,KSPA1W2-3D1-2B4-XN4-1A
KSPA1W2-3D1-2B4-MN4-1A,KSPA1W2-3D1-2B4-FN4-1A
KSPA1W2-3D1-2B4-MN4-2A,KSPA1W2-3D1-2B4-FN4-1A
KSPA1W2-3D1-2B4-XN4-1A,KSPA1W2-3D1-2B4-FN4-1A
KSPA1W2-3D1-2B4-XN4-2A,KSPA1W2-3D1-2B4-FN4-1A
KSPA1W2-3D1-SUBN4-1,KSPA1W2-3D1-XN7-1
KSPA1W2-3D1-SUBN4-2,KSPA1W2-3D1-XN7-2
KSPA1W2-3D1-SWGN7-1,KSPA1EB-3-SWGN7
KSPA1W2-3D1-XN7-1,KSPA1W2-3D1-SWGN7-1
KSPA1W2-3D1-XN7-2,KSPA1W2-3D1-SWGN7-1
KSPA1W2-3F1-1B4-FN4-1A,KSPA1W2-3F1-SUBN4-1
KSPA1W2-3F1-1B4-GN2-1A,KSPA1W2-3F1-1B4-XN4-1A
KSPA1W2-3F1-1B4-LN4-1A,KSPA1W2-3F1-1B4-XN4-2A
KSPA1W2-3F1-1B4-MN4-1A,KSPA1W2-3F1-1B4-FN4-1A
KSPA1W2-3F1-1B4-XN4-1A,KSPA1W2-3F1-1B4-FN4-1A
KSPA1W2-3F1-1B4-XN4-2A,KSPA1W2-3F1-1B4-FN4-1A
KSPA1W2-3F1-1B5-FN2-1A,KSPA1W2-3F1-1B5-XN4-1A
KSPA1W2-3F1-1B5-FN4-1A,KSPA1W2-3F1-SUBN4-1
KSPA1W2-3F1-1B5-GN2-1A,KSPA1W2-3F1-1B5-FN2-1A
KSPA1W2-3F1-1B5-MN4-1A,KSPA1W2-3F1-1B5-FN4-1A
KSPA1W2-3F1-1B5-TN2-1A,KSPA1W2-3F1-1B5-FN2-1A
KSPA1W2-3F1-1B5-TN2-2A,KSPA1W2-3F1-1B5-FN2-1A
KSPA1W2-3F1-1B5-XN4-1A,KSPA1W2-3F1-1B5-FN4-1A
KSPA1W2-3F1-1B6-FN2-1A,KSPA1W2-3F1-1B6-XN4-1A
KSPA1W2-3F1-1B6-FN4-1A,KSPA1W2-3F1-SUBN4-1
KSPA1W2-3F1-1B6-GN2-1A,KSPA1W2-3F1-1B6-FN2-1A
KSPA1W2-3F1-1B6-GN2-2A,KSPA1W2-3F1-1B6-FN2-1A
KSPA1W2-3F1-1B6-GN2-3A,KSPA1W2-3F1-1B6-FN2-1A
KSPA1W2-3F1-1B6-LN4-1A,KSPA1W2-3F1-1B6-XN4-2A
KSPA1W2-3F1-1B6-MN4-1A,KSPA1W2-3F1-1B6-FN4-1A
KSPA1W2-3F1-1B6-XN4-1A,KSPA1W2-3F1-1B6-FN4-1A
KSPA1W2-3F1-1B6-XN4-2A,KSPA1W2-3F1-1B6-FN4-1A
KSPA1W2-3F1-1C7-FN4-1A,KSPA1W2-3F1-SUBN4-1
KSPA1W2-3F1-1C7-GN2-1A,KSPA1W2-3F1-1C7-XN4-2A
KSPA1W2-3F1-1C7-LN4-1A,KSPA1W2-3F1-1C7-XN4-1A
KSPA1W2-3F1-1C7-MN4-1A,KSPA1W2-3F1-1C7-FN4-1A
KSPA1W2-3F1-1C7-XN4-1A,KSPA1W2-3F1-1C7-FN4-1A
KSPA1W2-3F1-1C7-XN4-2A,KSPA1W2-3F1-1C7-FN4-1A
KSPA1W2-3F1-2B4-FN4-1A,KSPA1W2-3F1-SUBN4-2
KSPA1W2-3F1-2B4-GN2-1A,KSPA1W2-3F1-2B4-XN4-2A
